RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1927802,DIT,ONE,SAMSDTX,NEOVIA LOGISTICS - A59,NYKU528378,TNPZ-495569,12/06/2022,12/14/2022,12/08/2022,0.00 ,"1,068.95 ","1,608.55 ",SEA0023280,ONEYSELC89019508,12/06/2022
1927803,DIT,ONE,SAMSDTX,NEOVIA LOGISTICS - A59,TEMU872461,TNPZ-497365,12/06/2022,12/14/2022,12/08/2022,0.00 ,"1,485.40 ","2,025.00 ",SEA0023310,ONEYSELC89019500,12/06/2022
1927806,DIT,ONE,SAMSDTX,NEOVIA LOGISTICS - A59,KKFU753987,TNPZ-409415,12/02/2022,12/08/2022,12/03/2022,0.00 ,868.55 ,"1,408.15 ",SEA0023265,ONEYSELC89019508,12/02/2022
1929743,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU418161,DCNZ-507259,12/01/2022,12/07/2022,12/05/2022,0.00 ,280.00 ,924.48 ,SEA0027630,HDMUKULM06350600B,12/01/2022
1931429,DIT,CMA,VICIL,IDC,CMAU505349,TNPZ-445770,12/02/2022,12/06/2022,,880.00 ,0.00 ,"1,423.60 ",OI 258,CMDUSGN1686293,12/06/2022
1931430,DIT,CMA,VICIL,IDC,TCNU468705,TNPZ-446600,12/02/2022,12/06/2022,,880.00 ,0.00 ,"1,423.60 ",OI 258,CMDUSGN1686293,12/06/2022
1931664,DIT,ONE,SAMSDTX,NEOVIA LOGISTICS - A59,BEAU524735,FPPZ-438333,12/01/2022,12/08/2022,12/03/2022,0.00 ,"1,518.55 ","2,118.95 ",SEA0029403,ONEYSELCA5964311,12/02/2022
1933311,CHI,YML,OLUSANY,GREIF PACKAGING LLC,YMMU637359,TSXZ-461044,12/10/2022,12/12/2022,,255.00 ,0.00 ,912.90 ,CHOLX224223,,12/12/2022
1933312,CHI,YML,OLUSANY,GREIF PACKAGING LLC,TGBU594633,DCLZ-414574,12/12/2022,12/13/2022,,215.00 ,0.00 ,872.90 ,CHOLX224223,,12/12/2022
1933338,DIT,ONE,SAMSDTX,NEOVIA LOGISTICS - A59,DRYU605817,TPNZ-497241,12/02/2022,12/06/2022,12/03/2022,0.00 ,200.00 ,800.40 ,SEA0040755,ONEYSELCC6838639,12/02/2022
1933403,CHI,HII,ARMADPA,ROMEOVILLE IL HUB,CAIU752336,HDMZ-414644,12/09/2022,12/19/2022,12/19/2022,440.00 ,245.00 ,939.59 ,503590356,HDMUSRGM36225100,12/09/2022
1933404,CHI,HII,ARMADPA,ROMEOVILLE IL HUB,HMMU627711,HDMZ-141004,12/12/2022,12/21/2022,12/14/2022,400.00 ,0.00 ,654.59 ,503590366,HDMUSRGM36225100,12/12/2022
1933405,CHI,HII,ARMADPA,ROMEOVILLE IL HUB,GAOU616322,DCNZ-400292,12/19/2022,12/22/2022,12/21/2022,350.00 ,0.00 ,604.59 ,503590422,HDMUHPHM10330100,12/19/2022
1933406,CHI,HII,ARMADPA,ROMEOVILLE IL HUB,HMMU601809,DCNZ-416761,12/09/2022,12/20/2022,12/14/2022,480.00 ,440.00 ,"1,174.59 ",503590376,HDMUSRGM36225100,12/09/2022
1933414,CHI,HII,ARMADPA,UP -GLOBAL 4 (I206),HMMU601809,DCNZ-416761,12/20/2022,12/20/2022,,254.59 ,0.00 ,509.18 ,503590361,HDMUSRGM36225100,12/20/2022
1933417,CHI,HII,ARMADPA,UP -GLOBAL 4 (I206),HMMU627711,HDMZ-141004,12/21/2022,12/21/2022,,254.59 ,0.00 ,509.18 ,503590398,HDMUSRGM36225100,12/21/2022
1933585,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,ONEU024469,FDLZ-507600,12/07/2022,12/08/2022,12/08/2022,0.00 ,80.00 ,764.00 ,SEA0041054,ONEYSZPCS3828901,12/07/2022
1933594,CHI,CMA,SAMSDTX,NEOVIA LOGISTICS - A58,BEAU520755,FLXZ-446305,12/01/2022,12/05/2022,12/02/2022,0.00 ,450.00 ,"1,134.00 ",SEA0040843,CMDUTHD0994248,12/01/2022
1933595,CHI,CMA,SAMSDTX,NEOVIA LOGISTICS - A58,CMAU644155,TSXZ-435456,12/15/2022,12/27/2022,12/27/2022,0.00 ,520.00 ,"1,204.00 ",SEA0040872,CMDUTHD0994250,12/15/2022
1933598,CHI,CMA,SAMSDTX,NEOVIA LOGISTICS - A58,SEKU598401,TSXZ-499263,12/15/2022,12/22/2022,12/22/2022,0.00 ,320.00 ,"1,004.00 ",SEA0040911,CMDUTHD0994250,12/15/2022
1933604,CHI,CMA,SAMSDTX,NEOVIA LOGISTICS - A58,TCKU627372,TSXZ-443301,12/16/2022,12/22/2022,,0.00 ,280.00 ,964.00 ,SEA0040915,CMDUTHD0994250,12/16/2022
1933636,MEM,ZIM,COOPMO,COOPER LIGHTING,TCNU865271,PBIZ-427396,12/06/2022,12/09/2022,12/08/2022,460.00 ,0.00 ,870.40 ,1049041669-2021,ZIMUXIA8293459,12/06/2022
1933637,MEM,ZIM,COOPMO,COOPER LIGHTING,TCNU897823,PBIZ-405209,12/06/2022,12/09/2022,12/08/2022,420.00 ,0.00 ,830.40 ,1049041669-2021,ZIMUXIA8293459,12/06/2022
1933638,MEM,ZIM,COOPMO,COOPER LIGHTING,TCNU885632,DCLZ-710343,12/06/2022,12/09/2022,12/08/2022,460.00 ,0.00 ,870.40 ,1049041669-2021,ZIMUXIA8293459,12/06/2022
