RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1928804,ATL,ONE,QUARTNY,TOM FOUTS TIRE,TCLU541327,POCZ-400963,11/07/2022,11/09/2022,,647.50 ,0.00 ,"1,274.15 ",OINYC-22070346,ONEYJKTC75596900,11/09/2022
1930394,ATL,ONE,SAMSDTX,LOWES ADC 3461,NYKU081702,TLXZ-459261,11/03/2022,11/08/2022,11/07/2022,0.00 ,500.00 ,"1,576.63 ",SEA0026506,ONEYLCBC24121600,11/05/2022
1930395,ATL,ONE,SAMSDTX,LOWES ADC 3461,NYKU420515,APMZ-427715,11/03/2022,11/08/2022,11/07/2022,0.00 ,500.00 ,"1,576.63 ",SEA0026508,ONEYLCBC24193800,11/04/2022
1930565,ATL,ONE,COOPMO,FUTURE FORWARDING COMPANY,RFCU505458,DCNZ-406018,11/02/2022,11/08/2022,11/08/2022,280.00 ,0.00 ,800.20 ,1046906779-2021,ONEYNB2IAF603700,11/02/2022
1930782,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,NYKU477755,POCZ-402246,11/01/2022,11/11/2022,11/04/2022,1006.10 ,0.00 ,"1,602.80 ",1046961252-2021,ONEYSH2FC2319800,11/01/2022
1930783,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,TCLU478336,MSCZ-454352,11/01/2022,11/10/2022,11/09/2022,1116.10 ,0.00 ,"1,712.80 ",1046575433-2021,ONEYSH2FC2308600,11/01/2022
1930784,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,DFSU434410,MAEC-747955,11/01/2022,11/09/2022,11/07/2022,510.00 ,0.00 ,"1,106.70 ",1046575433-2021,ONEYSH2FC2308600,11/01/2022
1932767,ATL,HII,SAMSDTX,LOWES ADC 3461,TGBU622507,TAXZ-477357,11/04/2022,11/15/2022,11/09/2022,0.00 ,860.00 ,"2,114.83 ",SEA0037718,HDMULCHM55239605,11/08/2022
1932768,ATL,HII,SAMSDTX,LOWES ADC 3461,TGBU646690,AIMZ-473567,11/14/2022,11/22/2022,11/18/2022,0.00 ,660.00 ,"1,914.83 ",SEA0038407,HDMULCHM92917600,11/16/2022
1932769,ATL,HII,SAMSDTX,LOWES ADC 3461,BMOU581574,FVXZ-179183,11/04/2022,11/17/2022,11/14/2022,0.00 ,"1,140.00 ","2,394.83 ",SEA0039742,HDMULCHM57306500,11/13/2022
1932770,ATL,HII,SAMSDTX,LOWES ADC 3461,CAIU720397,NAPZ-174031,11/04/2022,11/29/2022,11/21/2022,0.00 ,"1,710.00 ","2,964.83 ",SEA0039743,HDMULCHM55239601,11/15/2022
1932771,ATL,HII,SAMSDTX,LOWES ADC 3461,HMMU612423,NAPZ-422560,11/14/2022,12/04/2022,11/28/2022,0.00 ,"2,634.83 ","3,889.66 ",SEA0039745,HDMULCHM12146901,11/22/2022
1932772,ATL,HII,SAMSDTX,LOWES ADC 3461,HMMU623601,TLXZ-428340,11/14/2022,11/23/2022,11/21/2022,0.00 ,"2,204.83 ","3,459.66 ",SEA0039746,HDMULCHM36648303,11/16/2022
1932773,ATL,HII,SAMSDTX,LOWES ADC 3461,HMMU636651,TCWZ-416161,11/04/2022,11/16/2022,11/14/2022,0.00 ,820.00 ,"2,074.83 ",SEA0039747,HDMULCHM55239603,11/06/2022
1932774,ATL,HII,SAMSDTX,LOWES ADC 3461,HMMU644473,AIMZ-470632,11/04/2022,11/17/2022,11/07/2022,0.00 ,820.00 ,"2,074.83 ",SEA0039748,HDMULCHM55239602,11/07/2022
1932775,ATL,HII,SAMSDTX,LOWES ADC 3461,HMMU647431,CMAZ-450028,11/04/2022,11/07/2022,11/07/2022,0.00 ,670.00 ,"1,924.83 ",SEA0039749,HDMULCHM43706800,11/05/2022
1932776,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU443625,MCCZ-405397,11/14/2022,11/29/2022,11/21/2022,0.00 ,"2,484.83 ","3,739.66 ",SEA0039750,HDMULCHM36648302,11/17/2022
1932777,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU446531,TLXZ-459556,11/04/2022,12/05/2022,11/22/2022,0.00 ,"3,154.83 ","4,409.66 ",SEA0039751,HDMULCHM55239606,11/20/2022
1932778,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU456910,TCWZ-416192,11/04/2022,11/17/2022,11/09/2022,0.00 ,940.00 ,"2,194.83 ",SEA0039752,HDMULCHM65963100,11/08/2022
