"TERMINAL","RECNO","EL_DIV","EL_PR","EL_DDP","EL_ID","EL_PB","EL_PB_BILL_INFO","EL_TPP","PREFIX_CTNR","CONTAINERNO","ADJAMOUNT","VCC","ORIG_BILLTOID","CONSIGNEE","INV_DATE","DUE_DATE","DELVDATE","INGATEDATE","EMPTY_NOTIFIED","CARRIER_ID","MPA_CARR_REF","PPWK_RECVD","NBA_CHANGE","SPAID","EL_NBA"
"ATL",1914838,"MNR",253.5,0,0,0,"",0,"HMMU","608722",253.5,"Y","SAMSDTX","LOWE'S ADC 3468",5/31/2022,6/30/2022,4/26/2022,5/27/2022,5/11/2022,"DOWNGA","397080",5/31/2022,,7/12/2022,0
"ATL",1900318,"MNR",1955.79,0,0,0,"",0,"TGBU","674436",1955.79,"N","CMAVA","Wingard Quality Supply",2/8/2022,3/10/2022,11/17/2021,11/17/2021,,"DOWNGA","379031",2/8/2022,,4/6/2022,0
"ATL",1916578,"MNR",280.5,0,0,0,"",0,"HDMU","681861",280.5,"Y","SAMSDTX","LOWE'S ADC 3468",7/6/2022,8/5/2022,5/25/2022,6/22/2022,6/7/2022,"SACPNJ","DR000058096",7/6/2022,,,0
"ATL",1904068,"MNR",279.46,0,0,0,"",0,"BEAU","478147",279.46,"Y","CMAVA","NEOVIA LOGISTICS",5/24/2022,6/23/2022,1/1/2022,3/31/2022,3/14/2022,"SACPNJ","DR000056129",5/27/2022,,6/14/2022,0
"ATL",1914566,"MNR",147.75,0,0,0,"",0,"ONEU","000319",147.75,"Y","SAMSDTX","LOWE'S ADC 3468",7/6/2022,8/5/2022,5/23/2022,6/6/2022,5/27/2022,"SACPNJ","DR000058053",7/6/2022,,,0
"ATL",1911356,"MNR",170,0,0,0,"",0,"UETU","227588",170,"N","ROARNY","CASESTACK",5/19/2022,6/18/2022,3/23/2022,4/12/2022,3/29/2022,"DOWNGA","395739",5/20/2022,,6/14/2022,0
"ATL",1909949,"MNR",286.2,0,0,0,"",0,"CMAU","418780",286.2,"Y","CMAVA","NEOVIA LOGISTICS",3/9/2022,4/8/2022,3/12/2022,3/31/2022,3/21/2022,"HDTIRE2","2159",6/1/2022,,6/1/2022,0
"ATL",1920673,"PD",1760,0,0,0,"",0,"TCKU","642095",1760,"Y","SAMSDTX","LOWE'S ADC 3468",7/20/2022,8/19/2022,6/3/2022,6/30/2022,6/27/2022,"MAERNC","5260491575",7/20/2022,,,0
"ATL",1908724,"MNR",349.8,0,0,0,"",0,"NYKU","400669",349.8,"N","QUARTNY","SOUTHERN TIRE MART-BIRMINGHAM",3/30/2022,4/29/2022,3/31/2022,3/31/2022,,"HDTIRE2","91",6/1/2022,,6/1/2022,0
"ATL",1906804,"MNR",494.24,0,0,0,"",0,"HLBU","171371",494.24,"N","QUARTCA","CHATTAHOOCHEE VALLEY CROSS DOCKS &",6/6/2022,7/6/2022,3/31/2022,3/31/2022,,"SACPNJ","DR000056524",6/7/2022,,7/5/2022,0
"ATL",1920670,"PD",1320,0,0,0,"",0,"MRSU","371664",1320,"Y","SAMSDTX","LOWE'S ADC 3468",7/20/2022,8/19/2022,6/6/2022,6/28/2022,6/10/2022,"MAERNC","5260491574",7/20/2022,,,0
"ATL",1920669,"PD",1320,0,0,0,"",0,"MRKU","619976",1320,"Y","SAMSDTX","LOWE'S ADC 3468",7/20/2022,8/19/2022,6/3/2022,6/28/2022,6/27/2022,"MAERNC","5260491573",7/20/2022,,,0
"ATL",1900935,"MNR",676,0,0,0,"",0,"TGHU","639726",676,"Y","CMAVA","XPEDX, SUWANEE GA",5/12/2022,6/11/2022,1/6/2022,1/7/2022,,"SACPNJ","DR000055780",5/12/2022,,6/14/2022,0
"ATL",1924210,"MNR",65.32,0,0,0,"",0,"SEGU","600530",65.32,"Y","SAMSDTX","LOWE'S ADC 3468",7/13/2022,8/12/2022,7/13/2022,,7/18/2022,"ACTIOGA","511605",7/21/2022,,,0
"ATL",1921333,"MNR",95.99,0,0,0,"",0,"SEGU","604355",95.99,"Y","SAMSDTX","LOWES ADC 3461",7/6/2022,8/5/2022,6/10/2022,6/14/2022,,"SACPNJ","DR000058050",7/6/2022,,,0
"ATL",1921296,"MNR",283.5,0,0,0,"",0,"GESU","646936",283.5,"Y","SAMSDTX","LOWES ADC 3461",7/22/2022,8/21/2022,6/14/2022,7/1/2022,6/28/2022,"DOWNGA","403396",7/22/2022,,,0
"ATL",1918462,"MNR",475,0,0,0,"",0,"CMAU","752463",475,"Y","SAMSDTX","LOWE'S ADC 3468",7/9/2022,8/8/2022,6/6/2022,6/9/2022,,"DOWNGA","402419",7/11/2022,,,0
"ATL",1924256,"RST",75,0,0,0,"",0,"TLLU","519781",75,"N","COOPMO","COOPER LIGHTING c/o CASS",7/20/2022,8/19/2022,7/21/2022,,,"CSXGA","VIRTUAL CARD 2",7/20/2022,,7/20/2022,0
