Div ,Carrier ID ,Carrier Ref ,Term,RecNo ,SStat ,MStat,Adj Date ,Adj Code,  -  Desc ,Adj Amt,Deduct Amt,Sett Amt,ToBe Paid ,B ,Bill Amt ,Billed To ,SPaid ,Check #,Recog
PD,MSCSC,100001219562P,CHI,1878695,99,PR,12/3/2021,PD,PER DIEM CHARGES,"$2,570.00 ",$635.96 ,"$2,570.00 ",12/3/2021,Y,$709.50 ,DJSTXIL,01/12/2022,ACH,12/3/2021
CHZ,TRACMO,10118241,CHI,1878695,99,PR,12/10/2021,CR,CHASSIS RENTAL,$489.25 ,$635.96 ,$489.25 ,12/14/2021,Y,$709.50 ,DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,FLEMA,15Z14047919,CHI,1884334,99,PR,12/28/2021,CR,CHASSIS RENTAL,$95.00 ,$645.82 ,$95.00 ,1/4/2022,Y,"$1,412.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
YST,DELONG,001206,CHI,1885736,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$119.40 ,$718.36 ,$119.40 ,1/6/2022,Y,"$1,437.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,FLEMA,15Z14047919,CHI,1885736,99,PR,12/28/2021,CR,CHASSIS RENTAL,$332.50 ,$718.36 ,$332.50 ,1/4/2022,Y,"$1,437.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14057893,CHI,1885736,99,PR,1/29/2022,CR,CHASSIS RENTAL,$332.50 ,$718.36 ,$332.50 ,3/1/2022,Y,"$1,437.50 ",DJSTXIL,03/01/2022,221693,3/1/2022
PD,ONE,UST676195,CHI,1885736,99,PR,12/21/2021,PD,PER DIEM CHARGES,"$3,150.00 ",$718.36 ,"$3,150.00 ",12/21/2021,Y,"$1,437.50 ",DJSTXIL,01/26/2022,ACH,12/21/2021
CHZ,FLEMA,15Z14047919,CHI,1885746,99,PR,12/28/2021,CR,CHASSIS RENTAL,$142.50 ,$947.82 ,$142.50 ,1/4/2022,Y,"$1,412.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
YST,DELONG,001206,CHI,1885747,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$99.50 ,$718.36 ,$99.50 ,1/6/2022,Y,"$1,412.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,FLEMA,15Z14047919,CHI,1885747,99,PR,12/28/2021,CR,CHASSIS RENTAL,$332.50 ,$718.36 ,$332.50 ,1/4/2022,Y,"$1,412.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
