"RECNO","TName","Company","Div_LES","Terminal","Status","ChassisNo","CONTAINERNO","LI_NO","QTY_LE","SVCCODE_LE","SVCDESCRIPTION_LE","RATECODE_LE","RATE_LE","CHGAMT_LE","chz_pickup_loc","Shipper_Name","ConsigneeID","Consignee_Name","BilltoID_LES","Billto_Name_LES","Preferred","WorkorderNo","PBI_RefNo","BOL","SSL","PU_Date","PU_Time","Original_SchedDelv","SchedDelv","Original_scheddelvtime","Scheddelvtime","POD_Date","POD_Time","Ingatedate","ReturnTo","CHZ_returnTo","CHZ_ingatedate","RECEIVEDBY","YARDID","LASTFREEDAY","FREEDAYS","LAST_RETURN","Linehaul_Amount","FSC_Amount","Line_Total","ChasFee_Total","EL_Bill_Total","DP_Total","MP_Total","Net_Total","Rel_Date","Billed_Date_LES","Rcvd_Date_LES","CUST_REF"
1917604,"Lineitem","PBI","PBI","ATL","99","NAPZ423610","NYKU8477215",1,2,"CR","CHASSIS RENTAL","E",40,80,"","NS - NORFOLK AUSTELL (L690)","ATLDAGA","ATLANTA DASH","QUARTIL","QUARTZ LOGISTICS (CHICAGO) INC.","QUARTIL","OICHI-22040025","","ONEYTPEC27333500","ONE",11/3/2022,"0637",11/4/2022,11/4/2022,"1200","1200",11/4/2022,"1200",11/4/2022,"STRTURN","STRTURN",11/4/2022,"","PBIGA",11/2/2022,5,11/9/2022,0,0,0,0,0,0,0,0,5/3/2022,11/9/2022,11/23/2022,""
1917846,"Lineitem","PBI","PBI","MEM","99","MCCZ404665","DRYU4121826",1,3,"CR","CHASSIS RENTAL","E",40,120,"","UP - UNION PACIFIC MARION (P279)","FXIBMS","FXI INNOCOR INC (BALDWYN)","HECNY","Hecny Transportation(USA) Inc.","HECNY","LN267103","","ONEYTA1VG2749700","ONE",10/17/2022,"1747",10/19/2022,10/19/2022,"0800","0800",10/19/2022,"0705",10/19/2022,"CMCPID","MCZRCMP",10/19/2022,"STACK/DT","INTERS",8/4/2022,5,10/21/2022,0,0,0,0,0,0,0,0,5/4/2022,10/24/2022,11/25/2022,""
1920994,"Lineitem","PBI","PBI","CHI","88","FHCZ147548","TCNU7743976",1,6,"CR","CHASSIS RENTAL","E",40,240,"","UP -GLOBAL 4 (I206)","COOPIL","COOPER LIGHTING","COOPMO","COOPER LIGHTING SOLUTIONS C/O CASS","CLIGGA","1045809766-2021","RECV LOC 1053","XMNC36515500","ONE",10/27/2022,"1737",10/28/2022,10/28/2022,"1459","1459",10/28/2022,"0930",11/1/2022,"GLO4","GLO4",11/1/2022,"","",10/28/2022,7,11/2/2022,0,0,0,0,0,0,0,0,6/9/2022,11/15/2022,12/22/2022,""
1921256,"Lineitem","PBI","PBI","MEM","99","TAXZ753043","TCLU4284752",1,2,"CR","CHASSIS RENTAL","E",40,80,"","BNSF MEMPHIS (P486)","INTCOTN","INTERNATIONAL CONSORTIUM (SUPPLY)","WELPONY","Well Port Container Line, Inc","WELPONY","OI-22050162","","CMDUNBSN927683","CMA",10/13/2022,"1423",10/11/2022,10/14/2022,"0700","0900",10/14/2022,"0555",10/14/2022,"UNINTER","MCZREIT",10/14/2022,"RDT","INTERS",10/10/2022,4,10/18/2022,0,0,0,0,0,0,0,0,10/3/2022,10/24/2022,11/21/2022,""
1921701,"ELBilling","PBI","PBI","DAL","AC","PBIZ418592","SEKU4525747",945,5,"CR","CHASSIS RENTAL","E",50,250,"TXSTETX","CONGLOBAL HASLET","NEOXPO","NEOVIA LOGISTICS - A59","SAMSDTX","SAMSUNG SDS AMERICA, INC.","SAMSDDC","SEA0014397","","SGN1576951","CMA",10/27/2022,"1339",10/27/2022,10/27/2022,"2359","2359",10/27/2022,"1420",10/31/2022,"BNSFATX","DCZREUN",10/31/2022,"","",7/5/2022,15,11/10/2022,0,0,0,0,0,0,0,0,6/1/2022,11/7/2022,11/23/2022,"14793493"
1921822,"Lineitem","PBI","PBI","MEM","88","CCLZ442876","ONEU0182663",1,4,"CR","CHASSIS RENTAL","E",40,160,"","UP - UNION PACIFIC MARION (P279)","COOPTN","COOPER LIGHTING","COOPMO","COOPER LIGHTING SOLUTIONS C/O CASS","CLIGGA","1045779284-2021","RECV LOC 1064","ONEYHKGC53931300","ONE",10/18/2022,"0753",10/18/2022,10/18/2022,"1759","1759",10/18/2022,"0835",10/21/2022,"UPAR","UPAR",10/21/2022,"STACK","",8/17/2022,7,10/24/2022,0,0,0,0,0,0,0,0,6/13/2022,11/14/2022,11/18/2022,""
1921824,"Lineitem","PBI","PBI","MEM","88","NYKZ435266","MOFU5872393",1,2,"CR","CHASSIS RENTAL","E",40,80,"","UP - UNION PACIFIC MARION (P279)","COOPTN","COOPER LIGHTING","COOPMO","COOPER LIGHTING SOLUTIONS C/O CASS","CLIGGA","1045842473-2021","RECV LOC 1064","ONEYHANC25644700","ONE",10/6/2022,"1315",10/6/2022,10/6/2022,"1759","1759",10/6/2022,"1400",10/7/2022,"CMCPID","MCZREIT",10/10/2022,"STACK","",7/29/2022,7,10/12/2022,0,0,0,0,0,0,0,0,6/13/2022,10/26/2022,11/3/2022,""
1923016,"Lineitem","PBI","PBI","MEM","88","PBIZ420268","DRYU6095285",1,5,"CR","CHASSIS RENTAL","E",50,250,"MCZREIT","UP - UNION PACIFIC MARION (P279)","COOPTN","COOPER LIGHTING","COOPMO","COOPER LIGHTING SOLUTIONS C/O CASS","CLIGGA","1045782240-2021","RECV LOC 1064","ONEYHKGC53939400","ONE",10/6/2022,"1102",10/3/2022,10/6/2022,"1759","1759",10/6/2022,"1137",10/10/2022,"CNDEPOT","MCZRECN",10/10/2022,"STACK/HOT! RDT","",8/17/2022,7,10/12/2022,0,0,0,0,0,0,0,0,7/1/2022,10/26/2022,11/16/2022,""
1923551,"Lineitem","PBI","PBI","MEM","88","CCLZ442061","TCNU2626703",1,1,"CR","CHASSIS RENTAL","E",40,40,"","BNSF MEMPHIS (P486)","COOPTN","COOPER LIGHTING","COOPMO","COOPER LIGHTING SOLUTIONS C/O CASS","CLIGGA","1046138344-2021","RECV LOC 1064","XIA0995201","CMA",10/6/2022,"0558",10/4/2022,10/6/2022,"1759","1759",10/6/2022,"0619",10/6/2022,"UPAR","UPAR",10/6/2022,"","",9/17/2022,7,10/12/2022,0,0,0,0,0,0,0,0,7/20/2022,10/26/2022,11/16/2022,""
1923554,"Lineitem","PBI","PBI","MEM","88","PBIZ689297","TCKU7828615",1,5,"CR","CHASSIS RENTAL","E",50,250,"MCZREIT","BNSF MEMPHIS (P486)","COOPTN","COOPER LIGHTING","COOPMO","COOPER LIGHTING SOLUTIONS C/O CASS","CLIGGA","1046138344-2021","RECV LOC 1064","XIA0995201","CMA",10/7/2022,"0904",10/4/2022,10/7/2022,"1759","1759",10/7/2022,"0927",10/11/2022,"INTERMO","MCZREIN",10/11/2022,"","",9/18/2022,7,10/13/2022,0,0,0,0,0,0,0,0,7/20/2022,10/26/2022,11/16/2022,""
