RECNO,TName,Company,Div_LES,Terminal,Status,ChassisNo,CONTAINERNO,LI_NO,QTY_LE,SVCCODE_LE,SVCDESCRIPTION_LE,RATECODE_LE,RATE_LE,CHGAMT_LE,chz_pickup_loc,Shipper_Name,ConsigneeID,Consignee_Name,BilltoID_LES,Billto_Name_LES,Preferred,WorkorderNo,PBI_RefNo,BOL,SSL,PU_Date,PU_Time,Original_SchedDelv,SchedDelv,Original_scheddelvtime,Scheddelvtime,POD_Date,POD_Time,Ingatedate,ReturnTo,CHZ_returnTo,CHZ_ingatedate,RECEIVEDBY,YARDID,LASTFREEDAY,FREEDAYS,LAST_RETURN,Linehaul_Amount,FSC_Amount,Line_Total,ChasFee_Total,EL_Bill_Total,DP_Total,MP_Total,Net_Total,Rel_Date,Billed_Date_LES,Rcvd_Date_LES
1882423,ELBilling,PBI,PBI,CHI,AC,DCNZ435047,TCLU9735252,1053,2,YST,YARD STORAGE CHARGES,E,28,56,GLO4,INTEGRATED INDUSTRIES ELWOOD,UNIBOIL,UNIS BOLINGBROOK,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00582831691,,MEDUT0854447,MSC,1/21/2022,1427,1/22/2022,1/22/2022,2359,2359,1/22/2022,1500,2/10/2022,STRTURN,STRTURN,2/10/2022,LOT W,DELCOIL,10/12/2021,20,2/9/2022,0,0,0,0,0,0,0,0,6/16/2021,2/28/2022,
1884039,ELBilling,PBI,PBI,CHI,AC,APMZ404275,MSDU7886333,1352,5,YST,YARD STORAGE CHARGES,E,28,140,GLO4,INTEGRATED INDUSTRIES ELWOOD,MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00589988353,,MEDUT0909621,MSC,1/20/2022,1700,1/24/2022,1/24/2022,2359,2359,1/24/2022,1430,1/26/2022,CNICIL,REUSCNH,1/26/2022,LOT W,DELCOIL,10/12/2021,20,2/8/2022,0,0,0,0,0,0,0,0,6/28/2021,1/31/2022,2/8/2022
1884060,ELBilling,PBI,PBI,CHI,AC,DCLZ408188,MSMU7805087,1657,10,YST,YARD STORAGE CHARGES,E,28,280,REUCMAD,INTEGRATED INDUSTRIES ELWOOD,MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00589988557,,MEDUT0909621,MSC,2/10/2022,1050,2/19/2022,2/19/2022,2359,2359,2/19/2022,1430,2/25/2022,DELCOIL,DELCOIL,2/25/2022,LOT S,DELCOIL,10/1/2021,20,3/1/2022,0,0,0,0,0,0,0,0,6/28/2021,3/1/2022,
1884065,ELBilling,PBI,PBI,CHI,AC,TSXZ605835,CAAU5519169,1359,13,YST,YARD STORAGE CHARGES,E,28,364,GLO4,INTEGRATED INDUSTRIES ELWOOD,MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00589988615,,MEDUT0909621,MSC,1/31/2022,1111,2/12/2022,2/12/2022,0,2359,2/12/2022,1500,2/15/2022,BNLPCIL,BNLPCIL,2/15/2022,LOT S,DELCOIL,10/8/2021,20,2/19/2022,0,0,0,0,0,0,0,0,6/28/2021,2/15/2022,
1885793,ELBilling,PBI,PBI,CHI,AC,MAEC736961,FFAU2376509,1335,1,YST,YARD STORAGE CHARGES,E,28,28,GLO4,INTEGRATED INDUSTRIES ELWOOD,UNIBOIL,UNIS BOLINGBROOK,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00597920204,,MEDUT0991595,MSC,1/20/2022,1130,1/21/2022,1/21/2022,2359,2359,1/20/2022,1111,2/10/2022,BNLPCIL,BNLPCIL,2/10/2022,LOT W,,10/12/2021,20,2/8/2022,0,0,0,0,0,0,0,0,7/12/2021,1/31/2022,2/8/2022
1886133,ELBilling,PBI,PBI,CHI,AC,EVGZ341636,SEGU5852626,1405,60,YST,YARD STORAGE CHARGES,E,28,1680,,UP -GLOBAL 4 (I206),MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,JDAL21001264306,,LCHM85818200,HII,1/12/2022,2230,1/19/2022,3/12/2022,0,2359,3/12/2022,1430,,GLO4,,,,DELCOIL,8/10/2021,20,1/31/2022,0,0,0,0,0,0,0,0,7/1/2021,,
1886164,ELBilling,PBI,PBI,CHI,AC,TSXZ479266,MEDU4254027,1234,13,YST,YARD STORAGE CHARGES,E,28,364,REUSE,INTEGRATED INDUSTRIES ELWOOD,MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00599463415,,MEDUT5002356,MSC,1/31/2022,900,2/12/2022,2/12/2022,0,2359,2/12/2022,1730,2/15/2022,BNLPCIL,BNLPCIL,2/15/2022,LOT W,DELCOIL,10/12/2021,20,2/19/2022,0,0,0,0,0,0,0,0,7/12/2021,2/15/2022,
1889731,ELBilling,PBI,PBI,CHI,AC,APMZ426262,FDCU0321398,900,7,YST,YARD STORAGE CHARGES,E,28,196,,CSX BEDFORD PARK (J470),UNIBOIL,UNIS BOLINGBROOK,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00615927324,,MEDUM5385031,MSC,1/11/2022,1800,9/15/2021,1/17/2022,2359,2359,1/17/2022,1430,2/28/2022,BNLPCIL,BNLPCIL,2/28/2022,,DELCOIL,9/12/2021,20,1/30/2022,0,0,0,0,0,0,0,0,8/5/2021,1/31/2022,2/8/2022
1889734,ELBilling,PBI,PBI,CHI,AC,APMZ411867,MSCU7061025,905,3,YST,YARD STORAGE CHARGES,E,28,84,,CSX BEDFORD PARK (J470),MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00615930044,,MEDUM5381691,MSC,1/17/2022,1111,1/19/2022,1/19/2022,2359,2359,1/19/2022,930,1/21/2022,BNLPCIL,BNLPCIL,1/21/2022,,DELCOIL,9/29/2021,20,2/5/2022,0,0,0,0,0,0,0,0,8/5/2021,1/31/2022,2/8/2022
1889777,ELBilling,PBI,PBI,CHI,AC,MAEC762547,BEAU5852075,1724,12,YST,YARD STORAGE CHARGES,E,28,336,,CSX BEDFORD PARK (J470),UNIBOIL,UNIS BOLINGBROOK,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00615919531,,MEDUM5385064,MSC,1/31/2022,1111,2/11/2022,2/11/2022,0,2359,2/11/2022,1300,2/15/2022,BNLPCIL,BNLPCIL,2/15/2022,,DELCOIL,9/29/2021,20,2/19/2022,0,0,0,0,0,0,0,0,8/5/2021,2/28/2022,
1889778,ELBilling,PBI,PBI,CHI,AC,APMZ415878,BMOU6160435,1325,2,YST,YARD STORAGE CHARGES,E,28,56,,CSX BEDFORD PARK (J470),UNIBOIL,UNIS BOLINGBROOK,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00615919553,,MEDUM5385064,MSC,2/14/2022,1111,2/15/2022,2/15/2022,0,2359,2/15/2022,1100,3/1/2022,DELCOIL,DELCOIL,3/1/2022,,DELCOIL,9/29/2021,20,3/5/2022,0,0,0,0,0,0,0,0,8/5/2021,3/1/2022,
1889818,ELBilling,PBI,PBI,CHI,AC,GACZ401206,TGBU7200515,1331,10,YST,YARD STORAGE CHARGES,E,28,280,,CSX BEDFORD PARK (J470),MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00615914902,,MEDUM5381683,MSC,2/7/2022,908,2/16/2022,2/16/2022,2359,2359,2/16/2022,1410,2/18/2022,DELCOIL,DELCOIL,2/18/2022,,DELCOIL,9/29/2021,20,2/26/2022,0,0,0,0,0,0,0,0,8/5/2021,2/28/2022,
1889819,ELBilling,PBI,PBI,CHI,AC,DCLZ408954,MEDU7487594,1057,4,YST,YARD STORAGE CHARGES,E,28,112,,CSX BEDFORD PARK (J470),MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00615914913,,MEDUM5381683,MSC,1/24/2022,1111,1/27/2022,1/27/2022,2359,2359,1/27/2022,1430,2/1/2022,BNLPCIL,BNLPCIL,2/1/2022,,DELCOIL,9/29/2021,20,2/12/2022,0,0,0,0,0,0,0,0,8/5/2021,1/31/2022,2/8/2022
1889820,ELBilling,PBI,PBI,CHI,AC,DCLZ407921,MEDU7217958,1214,5,YST,YARD STORAGE CHARGES,E,28,140,REUCS71,CSX BEDFORD PARK (J470),UNIBOIL,UNIS BOLINGBROOK,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00615914924,,MEDUM5381683,MSC,2/11/2022,1800,2/15/2022,2/15/2022,0,2359,2/15/2022,1600,3/11/2022,BNLPCIL,BNLPCIL,3/11/2022,,DELCOIL,9/29/2021,20,3/2/2022,0,0,0,0,0,0,0,0,8/5/2021,2/28/2022,
1889843,ELBilling,PBI,PBI,CHI,AC,MAEC671622,MSDU7454290,1544,2,YST,YARD STORAGE CHARGES,E,28,56,,CSX BEDFORD PARK (J470),MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00615914946,,MEDUM5381683,MSC,1/20/2022,1557,1/22/2022,1/22/2022,2359,2359,1/21/2022,2330,1/27/2022,BNLPCIL,BNLPCIL,1/27/2022,,DELCOIL,9/29/2021,20,2/8/2022,0,0,0,0,0,0,0,0,8/5/2021,1/31/2022,2/8/2022
1889846,ELBilling,PBI,PBI,CHI,AC,MSCZ140076,DRYU9712040,1056,3,YST,YARD STORAGE CHARGES,E,28,84,,CSX BEDFORD PARK (J470),MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00615914971,,MEDUM5381683,MSC,1/25/2022,900,1/27/2022,1/27/2022,0,2359,1/27/2022,1830,2/1/2022,BNLPCIL,BNLPCIL,2/1/2022,,DELCOIL,9/29/2021,20,2/13/2022,0,0,0,0,0,0,0,0,8/5/2021,1/31/2022,2/8/2022
1889847,ELBilling,PBI,PBI,CHI,AC,DCLZ400252,MEDU7314259,1319,4,YST,YARD STORAGE CHARGES,E,28,112,,CSX BEDFORD PARK (J470),MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00615914982,,MEDUM5381683,MSC,1/12/2022,1111,1/15/2022,1/15/2022,2359,2359,1/15/2022,1130,1/17/2022,BNLPCIL,BNLPCIL,1/17/2022,,DELCOIL,9/25/2021,20,1/31/2022,0,0,0,0,0,0,0,0,8/5/2021,1/19/2022,2/8/2022
1889958,ELBilling,PBI,PBI,CHI,AC,HDMZ502414,BEAU5834364,1727,5,YST,YARD STORAGE CHARGES,E,28,140,REUSE,INTEGRATED INDUSTRIES ELWOOD,MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00616799757,,MEDUT5045884,MSC,2/21/2022,1555,10/25/2021,2/25/2022,1659,2359,2/25/2022,1220,3/1/2022,BNLPCIL,BNLPCIL,3/1/2022,LOT N/S,DELCOIL,8/24/2021,20,3/12/2022,0,0,0,0,0,0,0,0,8/6/2021,3/1/2022,
1889965,ELBilling,PBI,PBI,CHI,AC,TSXZ663432,FFAU2621273,1240,11,YST,YARD STORAGE CHARGES,E,28,308,REUCMAD,INTEGRATED INDUSTRIES ELWOOD,MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00616799837,,MEDUT5045884,MSC,2/9/2022,1230,10/25/2021,2/19/2022,1659,2359,2/19/2022,1700,3/2/2022,DELCOIL,DELCOIL,3/2/2022,LOT C,DELCOIL,9/22/2021,20,2/28/2022,0,0,0,0,0,0,0,0,8/6/2021,,
1889971,ELBilling,PBI,PBI,CHI,AC,TSXZ469498,MEDU4242242,1418,13,YST,YARD STORAGE CHARGES,E,28,364,GLO4,INTEGRATED INDUSTRIES ELWOOD,MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00616799895,,MEDUT5045884,MSC,1/31/2022,1600,10/25/2021,2/12/2022,1659,2359,2/12/2022,1700,2/15/2022,BNLPCIL,BNLPCIL,2/15/2022,LOT B,DELCOIL,9/22/2021,20,2/19/2022,0,0,0,0,0,0,0,0,8/6/2021,2/15/2022,
1889982,ELBilling,PBI,PBI,CHI,AC,TSXZ415364,MSCU5465563,1703,3,YST,YARD STORAGE CHARGES,E,28,84,REUILTW,INTEGRATED INDUSTRIES ELWOOD,UNIBOIL,UNIS BOLINGBROOK,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00616800000,,MEDUT5045884,MSC,2/23/2022,1502,10/25/2021,2/25/2022,1659,2359,2/25/2022,1600,3/9/2022,BNLPCIL,BNLPCIL,3/9/2022,LOT C,DELCOIL,9/7/2021,20,3/14/2022,0,0,0,0,0,0,0,0,8/6/2021,3/1/2022,
1889986,ELBilling,PBI,PBI,CHI,AC,DCNZ406031,MSDU7704803,1331,6,YST,YARD STORAGE CHARGES,E,28,168,GLO4,INTEGRATED INDUSTRIES ELWOOD,MIQIL,NEOVIA LOGISTICS - A58,SAMCA,Samsung Electronics America (SALS),SAMCADC,T00616800033,,MEDUT5045884,MSC,1/20/2022,800,1/24/2022,1/25/2022,2359,2359,1/25/2022,1915,1/28/2022,BNLPCIL,BNLPCIL,1/28/2022,LOT B,DELCOIL,9/22/2021,20,2/8/2022,0,0,0,0,0,0,0,0,8/6/2021,1/31/2022,2/8/2022
