Container#,Load ID
CAIU9902707,14450325
CAIU9902707,14450325
DFSU7356466,14431065
DFSU7356466,14431065
HMMU6485486,14450326
HMMU6485486,14450326
KOCU4219190,14453759
KOCU4219190,14453759
KOCU4301987,14453830
KOCU4301987,14453830
KOCU4447879,14455063
KOCU4447879,14455063
KOCU4471284,14437051
KOCU4471284,14437051
KOCU4633066,14401462
KOCU4633066,14401462
KOCU5001794,14450320
KOCU5001794,14450320
KOCU5018098,14427372
KOCU5018098,14427372
KOCU5085250,14431067
KOCU5085250,14431067
KOCU5131720,14411028
KOCU5131720,14411028
MRSU4584064,14461313
MRSU4584064,14461313
NYKU5156192,14459826
NYKU5156192,14459826
TEMU8226617,14459825
TEMU8226617,14459825
AMFU8776843,14450777
APHU6411290,14437216
APHU7309317,14440378
APZU4768655,14387802
BEAU4044283,14445349
BEAU4077878,14439183
BEAU4100704,14445360
BEAU5262016,14437219
BEAU5333470,14439486
BEAU5360310,14436750
BEAU5377273,14453375
BEAU5394769,14445373
BEAU5487521,14432215
BEAU5502436,14425284
BEAU5625214,14439184
BEAU5763445,14433213
BMOU4579947,14391370
BMOU4633987,14444029
BMOU4639440,14377051
BMOU5167230,14428780
BMOU5172133,14346168
BMOU5174310,14443524
BMOU5225193,14374433
BMOU5225790,14346373
BMOU5859726,14445374
BSIU8088309,14446856
BSIU8100045,14439377
BSIU9196231,14391768
BSIU9198450,14425280
BSIU9206453,14401463
BSIU9232489,14346374
BSIU9335091,14436794
BSIU9336349,14436796
BSIU9463702,14437094
BSIU9818818,14429844
BSIU9915839,14435376
BSIU9917132,14437080
BSIU9918890,14377959
BSIU9939701,14366515
BSIU9941946,14378190
CAAU5043215,14374535
CAAU5144231,14378191
CAAU5144294,14346378
CAAU5178165,14439384
CAAU6063263,14445376
CAAU6168238,14439186
CAAU6189950,14439187
CAAU6195721,14445377
CAIU4347849,14423624
CAIU4387040,14391945
CAIU4439694,14437086
CAIU4440674,14437186
CAIU4565352,14450521
CAIU4566467,14370398
CAIU4892566,14437218
CAIU4913273,14437052
CAIU7130707,14346379
CAIU7134641,14374545
CAIU7135062,14422447
CAIU7138945,14450327
CAIU7149718,14374547
CAIU7166551,14346390
CAIU7182784,14366516
CAIU7198395,14367266
CAIU7201930,14438889
CAIU7202371,14366517
CAIU7205093,14374549
CAIU7255221,14366519
CAIU7374703,14454625
CAIU7396370,14374550
CAIU7397421,14374611
CAIU7404027,14366730
CAIU7404388,14346391
CAIU7405532,14411293
CAIU7435389,14391372
CAIU7437020,14378192
CAIU7439487,14366731
CAIU7477527,14402698
CAIU7484819,14374613
CAIU7487248,14378193
CAIU7487551,14436791
CAIU7502928,14366732
CAIU7521091,14440972
CAIU7522204,14439012
CAIU7525820,14427080
CAIU7641517,14366733
CAIU7669772,14378423
CAIU7688540,14425281
CAIU7705648,14411295
CAIU8702330,14378424
CAIU8732273,14401461
CAIU9077453,14366735
CAIU9825529,14371678
CAIU9828148,14370824
CAIU9836992,14436795
CAIU9965238,14443525
CAIU9970086,14436773
CAIU9977753,14346394
CBHU7031767,14413593
CBHU7078384,14431063
CBHU9170967,14458101
CBHU9516561,14397268
CCLU4772107,14416687
CCLU4780329,14416686
CCLU4826918,14416684
CCLU4974793,14416688
CCLU7235230,14449428
CCLU7671023,14449610
CCLU7769010,14446841
CCLU7866663,14427965
CCLU7944690,14446851
CLHU4681732,14440379
CLKU5009425,14341452
CLKU5013657,14346395
CLKU5016738,14401198
CMAU4756650,14407353
CMAU4943630,14445378
CMAU5057390,14387805
CMAU6318098,14445379
CMAU6404025,14439188
CMAU6444516,14445380
CMAU6678279,14461312
CMAU6889733,14433214
CMAU6929899,14444366
CMAU6938545,14439189
CMAU7127199,14439240
CMAU7344872,14439241
CMAU7460126,14439242
CMAU7712362,14439245
CMAU7848282,14439246
CMAU7943741,14424984
CMAU8330148,14440391
CMAU8416088,14449933
CMAU8443859,14439247
CMAU9205731,14444184
CRXU9893622,14428449
CSLU6218414,14446840
CSNU6026569,14458103
CSNU6029059,14449613
CSNU6341792,14453370
CSNU6420551,14416689
CSNU6768700,14449618
CSNU6780115,14416741
CSNU6906230,14416746
CSNU7056871,14449619
CSNU7113884,14431062
CSNU7243907,14416749
CSNU7342730,14401195
CSNU7470270,14449830
CSNU7509052,14440868
CSNU7574762,14446829
CSNU7650820,14449423
CSNU7903087,14449831
CSNU8073214,14416748
CSNU8523857,14442967
CSNU8542728,14442969
CXDU1162590,14415267
CXDU1654183,14425291
CXDU1737755,14357453
DFSU4098666,14366983
DFSU6217738,14370825
DFSU6225435,14423625
DFSU6621502,14402699
DFSU6654770,14391397
DFSU6665389,14371851
DFSU6704850,14444572
DFSU6714293,14437095
DFSU6723090,14431066
DFSU6835145,14346396
DFSU6836007,14432944
DFSU6890332,14375242
DFSU7026905,14367267
DFSU7286116,14416745
DFSU7357930,14366736
DRYU6016938,14459600
DRYU9186413,14391373
DRYU9190080,14341398
DRYU9217896,14346398
DRYU9220349,14346483
ECMU9911725,14387806
FCIU8178370,14418966
FCIU8604579,14453376
FCIU9278538,14439568
FDCU0440210,14425285
FDCU0486762,14425299
FDCU0487305,14453378
FDCU0518860,14440940
FDCU0603766,14414296
FFAU1212922,14439248
FFAU2114073,14439249
FFAU3640107,14440061
FFAU4207998,14439330
FSCU5141485,14416683
FSCU7259918,14416747
FSCU8510930,14439180
FSCU8803707,0
FSCU8837306,14413592
FSCU9975568,14444365
FWRU0139800,14444363
GAOU6020089,14401196
GAOU6152932,14378194
GAOU6161791,14411029
GAOU6172266,14441152
GAOU6175368,14346485
GAOU6186470,14425279
GAOU6188576,14459605
GAOU6192283,14386338
GAOU6194938,14370826
GAOU6198018,14423439
GAOU6201596 ,14439185
GAOU6204384,14401197
GAOU6204471,14449901
GAOU6224879,14446843
GAOU6230296,14346486
GAOU6231950,14366738
GAOU6334644,14346487
GAOU6346856,14375530
GAOU6348817,14431283
GAOU6356520,14374614
GAOU6359679,14423153
GAOU6363880,14375243
GAOU6368310,14366762
GAOU6381610,14366768
GAOU6522554,14427966
GAOU6532784,14433210
GAOU6603316,14446852
GAOU6613119,14428788
GCXU5032467,14378426
GCXU5033036,14346489
GCXU5034813,14427083
GCXU5036729,14439600
GCXU5038193,14366782
GCXU5051997,14425282
GCXU5266249,14439601
GCXU5371706,14439331
GCXU5383610,14445381
GCXU5478823,14416744
GCXU5620199,14416740
GESU5992053,14429841
GLDU7268784,14440392
GLDU9980355,14394913
GVCU4129020,14416682
HDMU2570112,14383284
HDMU6484455,14407354
HDMU6654649,14439015
HDMU6739920,14374894
HDMU6746874,14366783
HDMU6787620,14374616
HDMU6790199,14407355
HDMU6811347,14443527
HDMU6815065,14422446
HDMU6818531,14374636
HDMU6831195,14389253
HDMU6835992,14346500
HDMU6838179,14378195
HDMU6838482,14453758
HDMU6847946,14367268
HDMU6849445,14411585
HDMU6854992,14366784
HDMU6865533,14346502
HDMU6868635,14444582
HDMU6884446,14376006
HDMU6896067,14346504
HMMU6018291,14367260
HMMU6019338,14378196
HMMU6028556,14421690
HMMU6029510,14375531
HMMU6042132,14346505
HMMU6045126,14450710
HMMU6049836,14391769
HMMU6062951,14436797
HMMU6063691,14346506
HMMU6063881,14340677
HMMU6091820,14411230
HMMU6092576,14375244
HMMU6102756,14366785
HMMU6126249,14394914
HMMU6127040,14374637
HMMU6127224,14366786
HMMU6138229,14371889
HMMU6139082,0
HMMU6146646,14367269
HMMU6150029,14440627
HMMU6154359,14423626
HMMU6161640,14378197
HMMU6162591,14444583
HMMU6165179,14444638
HMMU6169003,14458938
HMMU6169770,14366787
HMMU6171248,14370828
HMMU6173488,14346507
HMMU6179568,14378198
HMMU6188111,14363206
HMMU6192153,14346508
