RECNO,BILLTOID,BILLTO,PICKUPDATE,SCHEDPUTIME,BOLNUMBER,CUST_REF,Container No,TERMINAL
1912824,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,2359,MAEUS00587868,,AMFU877684,ATL
1911615,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SGN1422093,,APHU673653,DAL
1910291,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,CMDUGGZ1627248,,APHU702200,CHI
1910290,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/18/2022,2359,CMDUGGZ1627342,14437216,APHU641129,CHI
1913490,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,CMDUGGZ1652613,,APHU665958,CHI
1910720,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,CMDUSEL1307322,14440378,APHU730931,CHI
1911781,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0880108C,,APHU640836,DAL
1910306,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/10/2022,2359,CMDUSEL1307327,14387802,APZU476865,CHI
1912854,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011403,,BEAU533129,DIT
1912231,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,BEAU632297,DIT
1912230,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048702,,BEAU628352,DIT
1913494,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0921190,,BEAU467796,ATL
1912853,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011404,,BEAU529317,DIT
1912855,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011403,,BEAU543691,DIT
1912856,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,2359,ONEYSGNC35820700,,BEAU545985,DIT
1912857,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSGNC22274600,,BEAU547536,DIT
1912858,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011403,,BEAU547994,DIT
1913381,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,CMDUGGZ1638439,,BEAU561805,CHI
1911937,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/19/2022,2359,THD0880169B,14439184,BEAU562521,ATL
1913466,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC32525920,,BEAU544273,CHI
1911749,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,THD0880155A,14445349,BEAU404428,ATL
1911750,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,THD0880158H,14445360,BEAU410070,ATL
1911751,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/21/2022,2359,THD0880157C,14445373,BEAU539476,ATL
1911608,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0913119,,BEAU413253,DAL
1913613,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6326722170,,BEAU602208,DAL
1912090,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,2359,AYN0913118,,BEAU597087,CHI
1908550,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,ONEYSZPBBH047503,14437219,BEAU526201,DIT
1912093,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,ONEYHANC00756400,,BEAU536031,CHI
1910691,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPC06462305,14425284,BEAU550243,DIT
1912127,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885827A,,BEAU402237,DAL
1911858,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/18/2022,2359,ONEYLCBC01723900,14432215,BEAU548752,DIT
1913388,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC09489900,,BEAU535886,CHI
1912757,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885794,,BEAU630180,DAL
1912745,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885794,,BEAU612010,DAL
1912744,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885783,,BEAU595521,DAL
1912743,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885794,,BEAU563903,DAL
1912377,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC24682700,14453375,BEAU537727,CHI
1912727,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0880123A,,BEAU563140,DAL
1912710,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC40974900,,BEAU551084,CHI
1910927,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,AYN0901983A,,BEAU413213,CHI
1910958,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/19/2022,2359,THD0880171G,14439183,BEAU407787,ATL
1911692,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/18/2022,2359,,14433213,BEAU576344,DAL
1912692,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2M0790200,,BEAU628850,CHI
1908604,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/2/2022,2359,ONEYSZPBW8273902,14439486,BEAU533347,CHI
1913467,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC51793300,,BEAU551645,CHI
1910763,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/21/2022,2359,HDMUSELM44082800,14440625,BHCU499475,CHI
1910116,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM45830200,,BMOU412149,CHI
1913304,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM23663500,,BMOU431745,CHI
1910292,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,CMDUGGZ1627249,,BMOU586861,CHI
1910117,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM65881546,,BMOU412700,CHI
1910121,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,HDMUSELM01881600,14443524,BMOU517431,CHI
1913129,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM32086600,,BMOU521277,CHI
1909829,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,HDMULCHM88713414,14428780,BMOU516723,CHI
1910286,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321102310,,BMOU484530,CHI
1911376,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMULCHM35165800,,BMOU414360,CHI
1913302,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM86770100,,BMOU413516,CHI
1911378,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMULCHM35165802,,BMOU519463,CHI
1907910,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/17/2022,2359,HDMULCHM34572778,14346373,BMOU522579,CHI
1911377,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMULCHM35165800,,BMOU517880,CHI
1907909,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/17/2022,2359,HDMULCHM84032803,14346168,BMOU517213,CHI
1913303,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM94035100,,BMOU413863,CHI
1907908,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/25/2022,2359,HDMULCHM08899000,14377051,BMOU463944,CHI
1907907,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/24/2022,2359,HDMULCHM34572738,14374433,BMOU522519,CHI
1912711,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSZPM60807800,,BMOU515541,CHI
1911752,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,THD0880158B,14445374,BMOU585972,ATL
1910120,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,HDMUSELM25264500,14444029,BMOU463398,CHI
1912232,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSEL2F7048701,,BMOU493337,DIT
1912759,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885794,,BMOU642469,DAL
1910122,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM65881500,,BMOU518711,CHI
1910119,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM08782900,,BMOU425485,CHI
1913126,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM04612300,,BMOU412114,CHI
1912758,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0885787,,BMOU640764,DAL
1910118,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM08782900,,BMOU413665,CHI
1913127,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM51085400,,BMOU412125,CHI
1911087,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,HDMULCHM54604000,14391370,BMOU457994,CHI
1911617,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SGN1430498,,BMOU549175,DAL
1913128,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM02958400,,BMOU469221,CHI
1912728,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0880124,,BMOU610188,DAL
1912311,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/29/2022,2359,ONEYSZPC10229600,,BMOU493698,CHI
1911379,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMULCHM35165802,,BMOU520218,CHI
1913306,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM02719900,,BSIU921099,CHI
1913309,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM37262800,,BSIU993876,CHI
1913130,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM06642400,,BSIU918407,CHI
