RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1897377,SAV,MSK,MAENC,NEOVIA LOGISTICS,UESU4620820,DCSZ-725618,12/15/2021,01/20/2022,01/11/2022,0.00 ,0.00 ,"1,207.80 ",CHS211001677,213269193,12/16/2021
1897655,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,CSNU6292065,DCNZ-407477,12/17/2021,12/22/2021,,0.00 ,0.00 ,"1,029.60 ",QTZ-OI133208-144408,OOLU2679206050,12/21/2021
1897656,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,OOCU6939086,FVXZ-172687,12/21/2021,12/27/2021,,0.00 ,0.00 ,"1,029.60 ",QTZ-OI133208-144408,OOLU2679206050,12/23/2021
1897657,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,TGBU7912720,FLXZ-438974,12/21/2021,12/29/2021,,0.00 ,0.00 ,"1,029.60 ",QTZ-OI133208-144408,OOLU2679206050,12/27/2021
1897658,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,UETU5196963,AIMZ-473755,12/21/2021,12/27/2021,,220.00 ,0.00 ,"1,249.60 ",QTZ-OI133208-144408,OOLU2679206050,12/22/2021
1897662,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,OOCU6805981,HDMZ-409798,12/21/2021,12/23/2021,,220.00 ,0.00 ,"1,249.60 ",QTZ-OI133204-144404,OOLU2679206070,12/22/2021
1897663,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,TRHU4213071,APMZ-423905,12/21/2021,12/24/2021,,255.00 ,0.00 ,"1,284.60 ",QTZ-OI133201-144401,OOLU2679206080,12/23/2021
1897664,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,FCIU9570534,MAEC-658677,12/16/2021,12/18/2021,,0.00 ,0.00 ,"1,029.60 ",QTZ-OI133198-144398,OOLU2680004730,12/16/2021
1897665,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,OOCU8066387,DFLZ-400894,12/21/2021,01/03/2022,,430.00 ,0.00 ,"1,459.60 ",QTZ-OI133198-144398,OOLU2680004730,01/03/2022
1897666,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,TCLU5217867,NAPZ-800421,12/21/2021,12/28/2021,,0.00 ,0.00 ,"1,029.60 ",QTZ-OI133198-144398,OOLU2680004730,12/27/2021
1897667,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,OOCU7407494,NAPZ-185128,12/17/2021,12/21/2001,,0.00 ,0.00 ,"1,029.60 ",QTZ-OI133195-144395,OOLU2679299190,12/17/2021
1897668,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,TCLU9531330,TSXZ-609996,12/17/2021,12/21/2021,,0.00 ,0.00 ,"1,029.60 ",QTZ-OI133195-144395,OOLU2679299190,12/21/2021
1897669,SAV,OOC,QUARTCA,JUSHI USA / HENGSHI USA,UETU5390808,HDMZ-409798,12/17/2021,12/21/2021,,0.00 ,0.00 ,"1,029.60 ",QTZ-OI133195-144395,OOLU2679299190,12/20/2021
1899469,ATL,HAP,SAMSDCA,XPO LOGISTICS,TCLU5106863,TAXZ-478270,01/08/2022,01/21/2022,,1300.00 ,0.00 ,"1,732.00 ",0058204,HLCUSEL211074024,01/21/2022
1899470,ATL,HAP,SAMSDCA,XPO LOGISTICS,HLXU8221756,PONZ-456596,01/05/2022,01/17/2022,,1220.00 ,0.00 ,"1,652.00 ",0058205,HLCUSEL211074035,01/17/2022
1899471,ATL,HAP,SAMSDCA,XPO LOGISTICS,AMFU8943128,MCHZ-400668,01/05/2022,01/11/2022,,700.00 ,0.00 ,"1,132.00 ",0058206,HLCUSEL211073975,01/10/2022
1899472,ATL,HAP,SAMSDCA,XPO LOGISTICS,HLXU8240838,AIMZ-473722,01/08/2022,01/19/2022,,1140.00 ,0.00 ,"1,572.00 ",0058207,HLCUSEL211074002,01/19/2022
1899473,ATL,HAP,SAMSDCA,XPO LOGISTICS,HLXU8037306,APMZ-412261,01/06/2022,01/12/2022,,740.00 ,0.00 ,"1,172.00 ",0058208,HLCUSEL211074057,01/11/2022
