"EL_DIV","CARRIER_ID","MPA_CARR_REF","RECNO","PREFIX_CTNR","CONTAINERNO","TERMINAL","ORIG_BILLTOID","EL_PB_BILLTOID","INV_DATE","DUE_DATE","ADJTYPE","PPWK_RECVD","TOBEPAID","ADJAMOUNT","EL_PR","EL_PB","EL_PB_BILL_INFO","EL_NBA","EL_DDP","EL_DD","EL_IDC","EL_ID","EL_TPP","SPAID","SETTCHECK","HOLDSETTS"
"MNR","ACTIOGA","511605",1924210,"SEGU","600530","ATL","SAMSDTX","",7/13/2022,8/12/2022,"MR",7/21/2022,7/21/2022,65.32,65.32,0,"",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700308",1906430,"TCKU","734907","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,2850,0,2850,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700315",1906438,"TCNU","778796","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,2850,0,2850,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700316",1906435,"ONEU","027983","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,2850,0,2850,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700304",1903656,"BEAU","530877","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,3450,0,3450,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700310",1906432,"GAOU","665069","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,3000,0,3000,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700307",1906429,"TCNU","686190","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,3000,0,3000,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700306",1906439,"TCLU","545194","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,3000,0,3000,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700314",1906437,"TRHU","617227","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,2850,0,2850,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700309",1906431,"TCLU","459087","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,3000,0,3000,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700313",1906436,"DRYU","608358","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,2850,0,2850,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700311",1906433,"NYKU","520796","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,3000,0,3000,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700312",1906434,"TEMU","873301","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,2700,0,2700,"N",0,0,0,0,0,0,,"","N"
"PD","APACTX","ADI220700305",1903659,"TRHU","607864","HOU","ONEVA","SAMCA",7/14/2022,8/13/2022,"PD",7/14/2022,7/14/2022,3450,0,3450,"N",0,0,0,0,0,0,,"","N"
"RST","BNSIL","653690008",1921905,"TCKU","634400","MEM","COOPMO","COOPMO",7/21/2022,8/20/2022,"RST",7/21/2022,7/21/2022,2550,0,0,"N",0,0,0,0,0,0,,"","N"
"RST","BNSIL","653687397",1916567,"OOLU","679176","CHI","DJSTXIL","DJSTXIL",7/20/2022,8/19/2022,"RST",7/20/2022,7/20/2022,150,0,0,"N",0,0,0,0,0,0,,"","N"
"RST","BNSIL","653690335",1921914,"FCIU","880222","MEM","COOPMO","COOPMO",7/21/2022,8/20/2022,"RST",7/21/2022,7/21/2022,3000,0,0,"N",0,0,0,0,0,0,,"","N"
"RST","BNSIL","653683747",1924334,"TCNU","584324","MEM","COOPMO","COOPMO",7/18/2022,8/17/2022,"RST",7/19/2022,7/19/2022,525,0,0,"N",0,0,0,0,0,0,,"","N"
"RST","BNSIL","651599008",1916778,"BMOU","585444","CHI","SAMSDTX","SAMSDTX",5/27/2022,6/26/2022,"RST",7/22/2022,7/22/2022,2425,0,0,"N",0,0,0,0,0,0,,"","N"
"RST","BNSIL","651599674",1917309,"OOLU","431732","CHI","ACERCA","ACERCA",5/27/2022,6/26/2022,"RST",7/22/2022,7/22/2022,150,0,0,"N",0,0,0,0,0,0,,"","N"
