RECNO,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1907672,CHI,HII,SAMSDTX,LOWE'S ADC 3463,BSIU-993970-1,DCLZ-414333,02/21/2022,02/28/2022,02/28/2022,293.40 ,0.00 ,859.44 ,SEA0000586,HDMULCHM91151300,02/21/2022
1907808,CHI,HII,SAMSDTX,LOWE'S ADC 3463,CAAU-514423-1,DCLZ-425146,02/26/2022,02/28/2022,,0.00 ,399.00 ,954.44 ,SEA0000590,HDMULCHM14858300,02/28/2022
1907809,CHI,HII,SAMSDTX,LOWE'S ADC 3463,CAIU-720509-3,MSCZ-431296,02/25/2022,03/04/2022,03/03/2022,0.00 ,624.00 ,"1,179.44 ",SEA0000605,HDMULCHM38607500,02/28/2022
1907810,CHI,HII,SAMSDTX,LOWE'S ADC 3463,CAIU-725522-1,DCLZ-425198,02/21/2022,03/01/2022,02/28/2022,0.00 ,592.00 ,"1,147.44 ",SEA0000606,HDMULCHM91137000,02/22/2022
1907811,CHI,HII,SAMSDTX,LOWE'S ADC 3463,CAIU-997775-3,DCLZ-425016,02/23/2022,02/28/2022,,478.00 ,"1,801.63 ","2,835.07 ",SEA0000631,HDMULCHM15612600,02/24/2022
1907812,CHI,HII,SAMSDTX,LOWE'S ADC 3463,CAIU-739742-1,DCLZ-701909,02/25/2022,03/24/2022,03/02/2022,0.00 ,"4,509.96 ","5,065.40 ",SEA0000611,HDMULCHM13659000,02/28/2022
1907813,CHI,HII,SAMSDTX,LOWE'S ADC 3463,CAIU-740438-8,DCHZ-700444,02/23/2022,02/28/2022,02/28/2022,478.00 ,"1,573.25 ","2,606.69 ",SEA0000613,HDMULCHM87009300,02/24/2022
1907814,CHI,HII,SAMSDTX,LOWE'S ADC 3463,CAIU-748724-8,NEDZ-402178,02/26/2022,03/24/2022,03/02/2022,0.00 ,"4,254.26 ","4,809.70 ",SEA0000621,HDMULCHM68108901,02/28/2022
1907815,CHI,HII,SAMSDTX,LOWE'S ADC 3463,CAIU-764151-7,DCNZ-435075,02/21/2022,02/24/2022,02/24/2022,141.40 ,0.00 ,707.44 ,SEA0000623,HDMULCHM91584700,02/21/2022
1907816,CHI,HII,SAMSDTX,LOWE'S ADC 3463,CAIU-766977-2,DCHZ-407735,03/01/2022,03/24/2022,03/03/2022,0.00 ,"3,307.16 ","3,875.32 ",SEA0000624,HDMULCHM80494800,03/01/2022
1907817,CHI,HII,SAMSDTX,LOWE'S ADC 3463,CAIU-870233-0,NEDZ-402169,03/01/2022,03/09/2022,03/03/2022,344.12 ,0.00 ,910.16 ,SEA0000626,HDMULCHM98545600,03/01/2022
1907822,CHI,HII,SAMSDTX,LOWE'S ADC 3463,DFSU-735793-0,MAEC-578568,02/21/2022,02/22/2022,,65.40 ,0.00 ,631.44 ,SEA0000643,HDMULCHM99589000,02/21/2022
1907823,CHI,HII,SAMSDTX,LOWE'S ADC 3463,GAOU-634685-6,MAEC-555150,02/26/2022,03/09/2022,03/02/2022,0.00 ,"1,309.16 ","1,864.60 ",SEA0000662,HDMULCHM49203700,02/28/2022
1907824,CHI,HII,SAMSDTX,LOWE'S ADC 3463,GAOU-638161-0,EVGZ-341426,02/21/2022,02/24/2022,02/24/2022,0.00 ,402.00 ,957.44 ,SEA0000668,HDMULCHM05488500,02/22/2022
1907825,CHI,HII,SAMSDTX,LOWE'S ADC 3463,HDMU-681853-1,MAEC-741884,02/25/2022,04/05/2022,03/07/2022,0.00 ,"7,158.36 ","7,713.80 ",SEA0000679,HDMULCHM16985500,02/28/2022
1907826,CHI,HII,SAMSDTX,LOWE'S ADC 3463,HDMU-683817-9,MAEC-545724,02/26/2022,03/24/2022,03/02/2022,0.00 ,"4,254.26 ","4,809.70 ",SEA0000681,HDMULCHM47786600,02/28/2022
1907827,CHI,HII,SAMSDTX,LOWE'S ADC 3463,HMMU-601829-1,OESZ-801509,02/19/2022,02/22/2022,02/22/2022,141.40 ,0.00 ,707.44 ,SEA0000686,HDMULCHM68707400,02/19/2022
1907828,CHI,HII,SAMSDTX,LOWE'S ADC 3463,HMMU-601933-8,APMZ-701486,02/26/2022,03/21/2022,03/03/2022,0.00 ,"3,138.00 ","3,693.44 ",SEA0000687,HDMULCHM59441000,02/28/2022
1907829,CHI,HII,SAMSDTX,LOWE'S ADC 3463,HMMU-620154-8,MAEC-616591,02/25/2022,03/11/2022,03/02/2022,0.00 ,"1,072.70 ","1,628.14 ",SEA0000710,HDMULCHM94477100,02/28/2022
1907830,CHI,HII,SAMSDTX,LOWE'S ADC 3463,HMMU-627301-8,DCLZ-415787,02/25/2022,03/21/2022,03/03/2022,0.00 ,"3,279.70 ","3,835.14 ",SEA0000722,HDMULCHM68108902,02/28/2022
1907831,CHI,HII,SAMSDTX,LOWE'S ADC 3463,HMMU-649575-6,HDMZ-412050,02/16/2022,03/03/2022,02/28/2022,0.00 ,"1,393.00 ","1,948.44 ",SEA0000747,HDMULCHM11870200,02/22/2022
1907835,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-402428-6,CCLZ-442756,02/23/2022,02/28/2022,,495.00 ,"1,573.25 ","2,623.69 ",SEA0000754,HDMULCHM19187101,02/25/2022
1907836,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-403544-4,APMZ-412561,02/26/2022,03/21/2022,03/03/2022,0.00 ,"3,024.00 ","3,579.44 ",SEA0000756,HDMULCHM06341700,02/28/2022
1907837,CHI,HII,SAMSDTX,LOWE'S ADC 3463,KOCU-404712-6,MAEC-656127,02/26/2022,03/25/2022,03/03/2022,0.00 ,"4,474.96 ","5,030.40 ",SEA0000758,HDMULCHM16273700,02/28/2022
