"RECNO","TName","Company","Div_LES","Terminal","Status","ChassisNo","CONTAINERNO","LI_NO","QTY_LE","SVCCODE_LE","SVCDESCRIPTION_LE","RATECODE_LE","RATE_LE","CHGAMT_LE","chz_pickup_loc","Shipper_Name","ConsigneeID","Consignee_Name","BilltoID_LES","Billto_Name_LES","Preferred","WorkorderNo","PBI_RefNo","BOL","SSL","PU_Date","PU_Time","Original_SchedDelv","SchedDelv","Original_scheddelvtime","Scheddelvtime","POD_Date","POD_Time","Ingatedate","ReturnTo","CHZ_returnTo","CHZ_ingatedate","RECEIVEDBY","YARDID","LASTFREEDAY","FREEDAYS","LAST_RETURN","Linehaul_Amount","FSC_Amount","Line_Total","ChasFee_Total","EL_Bill_Total","DP_Total","MP_Total","Net_Total","Rel_Date","Billed_Date_LES","Rcvd_Date_LES"
1887139,"ELBilling","PBI","PBI","DIT","AC","DCNZ600083","BEAU5879456",1150,5,"YST","YARD STORAGE CHARGES","E",28,140,"","UP - DIT WILMER (V963)","NEOXPO","NEOVIA LOGISTICS - A59","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00603070422","","MEDUT5033773","MSC",12/10/2021,"1342",12/14/2021,12/14/2021,"2359","2359",12/14/2021,"0456",12/16/2021,"BNSFATX","BNSFATX",12/16/2021,"","PBWWRTX",7/23/2021,20,12/29/2021,0,0,0,0,0,0,0,0,7/19/2021,1/14/2022,1/21/2022
1887148,"ELBilling","PBI","PBI","DIT","AC","DCYZ441553","MSDU8319139",1149,5,"YST","YARD STORAGE CHARGES","E",28,140,"","UP - DIT WILMER (V963)","NEOXPO","NEOVIA LOGISTICS - A59","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00603070433","","MEDUT5033773","MSC",12/10/2021,"1426",12/14/2021,12/14/2021,"2359","2359",12/14/2021,"0707",12/17/2021,"BNSFATX","BNSFATX",12/17/2021,"","PBWWRTX",7/23/2021,20,12/29/2021,0,0,0,0,0,0,0,0,7/19/2021,1/14/2022,1/21/2022
1887306,"ELBilling","PBI","PBI","DIT","AC","NYKZ698487","CAIU4781691",1148,5,"YST","YARD STORAGE CHARGES","E",28,140,"","UP - DIT WILMER (V963)","NEOXPO","NEOVIA LOGISTICS - A59","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00604870775","","MEDUT5033773","MSC",12/10/2021,"1256",12/14/2021,12/14/2021,"2359","2359",12/14/2021,"0915",12/20/2021,"BNSFATX","BNSFATX",12/20/2021,"","PBWWRTX",7/23/2021,20,12/29/2021,0,0,0,0,0,0,0,0,7/20/2021,12/29/2021,1/14/2022
1897719,"Lineitem","PBI","PBI","DIT","99","TNPZ208274","MAGU2125568",3,2,"YST","YARD STORAGE CHARGES","E",40,80,"","UP - DIT WILMER (V963)","SANINTX","SANDEN INTERNATIONAL","ANCEXIL","Anchor Express Inc","ANCEXIL","PPILONW22297","","ONEYSH1ET2910900","ONE",1/4/2022,"1219",1/5/2022,1/5/2022,"0930","0930",1/5/2022,"0930",1/5/2022,"TLSHUTC","UPRRTX",1/5/2022,"","PBWWRTX",1/4/2022,5,1/10/2022,0,0,0,0,0,0,0,0,11/2/2021,1/7/2022,1/28/2022
1898463,"ELBilling","PBI","PBI","DIT","AC","APMZ420479","MSCU7006521",1148,5,"YST","YARD STORAGE CHARGES","E",28,140,"","UP - DIT WILMER (V963)","NEOXPO","NEOVIA LOGISTICS - A59","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00667551917","","MEDUT5033732","MSC",12/10/2021,"1339",12/14/2021,12/14/2021,"2359","2359",12/14/2021,"1034",12/19/2021,"BNSFATX","BNSFATX",12/19/2021,"","PBWWRTX",7/23/2021,20,12/29/2021,0,0,0,0,0,0,0,0,10/18/2021,12/29/2021,1/14/2022
1898464,"ELBilling","PBI","PBI","DIT","AC","TRZZ400350","CAIU7739592",1146,5,"YST","YARD STORAGE CHARGES","E",28,140,"","UP - DIT WILMER (V963)","NEOXPO","NEOVIA LOGISTICS - A59","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00667551542","","MEDUT5033732","MSC",12/10/2021,"1433",12/14/2021,12/14/2021,"2359","2359",12/14/2021,"0242",12/20/2021,"BNSFATX","BNSFATX",12/20/2021,"","PBWWRTX",7/23/2021,20,12/29/2021,0,0,0,0,0,0,0,0,10/18/2021,12/29/2021,1/14/2022
1898465,"ELBilling","PBI","PBI","DIT","AC","MAEC749133","MSMU7115034",1145,5,"YST","YARD STORAGE CHARGES","E",28,140,"","UP - DIT WILMER (V963)","NEOXPO","NEOVIA LOGISTICS - A59","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00667552317","","MEDUT5033732","MSC",12/10/2021,"1256",12/14/2021,12/14/2021,"2359","2359",12/14/2021,"0917",12/16/2021,"BNSFATX","BNSFATX",12/16/2021,"","PBWWRTX",7/23/2021,20,12/29/2021,0,0,0,0,0,0,0,0,10/18/2021,12/29/2021,1/14/2022
1898466,"ELBilling","PBI","PBI","DIT","AC","APMZ407723","CAIU9597223",1144,5,"YST","YARD STORAGE CHARGES","E",28,140,"","UP - DIT WILMER (V963)","NEOXPO","NEOVIA LOGISTICS - A59","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00667551735","","MEDUT5033732","MSC",12/10/2021,"1421",12/14/2021,12/14/2021,"2359","2359",12/14/2021,"0720",12/18/2021,"BNSFATX","BNSFATX",12/18/2021,"","PBWWRTX",7/23/2021,20,12/29/2021,0,0,0,0,0,0,0,0,10/18/2021,12/29/2021,1/14/2022
1898467,"ELBilling","PBI","PBI","DIT","AC","DCNZ435141","MSDU7994718",1144,5,"YST","YARD STORAGE CHARGES","E",28,140,"","UP - DIT WILMER (V963)","NEOXPO","NEOVIA LOGISTICS - A59","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00667552215","","MEDUT5033732","MSC",12/10/2021,"1341",12/14/2021,12/14/2021,"2359","2359",12/14/2021,"0522",12/17/2021,"BNSFATX","BNSFATX",12/17/2021,"","PBWWRTX",7/23/2021,20,12/29/2021,0,0,0,0,0,0,0,0,10/18/2021,12/29/2021,1/14/2022
1898810,"Lineitem","PBI","PBI","DIT","99","TNPZ224840","BMOU2199444",3,3,"YST","YARD STORAGE CHARGES","E",40,120,"","UP - DIT WILMER (V963)","SANINTX","SANDEN INTERNATIONAL","ANCEXIL","Anchor Express Inc","ANCEXIL","PPILONW22314","","ONEYSH1ET2927300","ONE",1/4/2022,"1217",1/6/2022,1/6/2022,"0930","0930",1/6/2022,"0908",1/6/2022,"WBCNTTX","ESSTX",1/6/2022,"","PBWWRTX",1/4/2022,5,1/10/2022,0,0,0,0,0,0,0,0,11/9/2021,1/10/2022,1/28/2022
