"RECNO","TName","Company","Div_LES","Terminal","Status","ChassisNo","CONTAINERNO","LI_NO","QTY_LE","SVCCODE_LE","SVCDESCRIPTION_LE","RATECODE_LE","RATE_LE","CHGAMT_LE","chz_pickup_loc","Shipper_Name","ConsigneeID","Consignee_Name","BilltoID_LES","Billto_Name_LES","Preferred","WorkorderNo","PBI_RefNo","BOL","SSL","PU_Date","PU_Time","Original_SchedDelv","SchedDelv","Original_scheddelvtime","Scheddelvtime","POD_Date","POD_Time","Ingatedate","ReturnTo","CHZ_returnTo","CHZ_ingatedate","RECEIVEDBY","YARDID","LASTFREEDAY","FREEDAYS","LAST_RETURN","Linehaul_Amount","FSC_Amount","Line_Total","ChasFee_Total","EL_Bill_Total","DP_Total","MP_Total","Net_Total","Rel_Date","Billed_Date_LES","Rcvd_Date_LES","CUST_REF"
1884060,"ELBilling","PBI","PBI","CHI","AC","DCLZ408188","MSMU7805087",1657,10,"YST","YARD STORAGE CHARGES","E",28,280,"REUCMAD","INTEGRATED INDUSTRIES ELWOOD","MIQIL","NEOVIA LOGISTICS - A58","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00589988557","","MEDUT0909621","MSC",2/10/2022,"1050",2/19/2022,2/19/2022,"2359","2359",2/19/2022,"1430",2/25/2022,"DELCOIL","DELCOIL",2/25/2022,"LOT S","DELCOIL",10/1/2021,20,3/1/2022,0,0,0,0,0,0,0,0,6/28/2021,3/1/2022,4/12/2022,""
1889778,"ELBilling","PBI","PBI","CHI","AC","APMZ415878","BMOU6160435",1325,2,"YST","YARD STORAGE CHARGES","E",28,56,"","CSX BEDFORD PARK (J470)","UNIBOIL","UNIS BOLINGBROOK","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00615919553","","MEDUM5385064","MSC",2/14/2022,"1111",2/15/2022,2/15/2022,"0000","2359",2/15/2022,"1100",3/1/2022,"DELCOIL","DELCOIL",3/1/2022,"","DELCOIL",9/29/2021,20,3/5/2022,0,0,0,0,0,0,0,0,8/5/2021,3/1/2022,4/12/2022,""
1889818,"ELBilling","PBI","PBI","CHI","AC","GACZ401206","TGBU7200515",1331,10,"YST","YARD STORAGE CHARGES","E",28,280,"","CSX BEDFORD PARK (J470)","MIQIL","NEOVIA LOGISTICS - A58","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00799855291","","MEDUM5381683","MSC",2/7/2022,"0908",2/16/2022,2/16/2022,"2359","2359",2/16/2022,"1410",2/18/2022,"DELCOIL","DELCOIL",2/18/2022,"","DELCOIL",9/29/2021,20,2/26/2022,0,0,0,0,0,0,0,0,8/5/2021,2/28/2022,4/12/2022,""
1889820,"ELBilling","PBI","PBI","CHI","AC","DCLZ407921","MEDU7217958",1214,5,"YST","YARD STORAGE CHARGES","E",28,140,"REUCS71","CSX BEDFORD PARK (J470)","UNIBOIL","UNIS BOLINGBROOK","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00615914924","","MEDUM5381683","MSC",2/11/2022,"1800",2/15/2022,2/15/2022,"0000","2359",2/15/2022,"1600",3/11/2022,"BNLPCIL","BNLPCIL",3/11/2022,"","DELCOIL",9/29/2021,20,3/2/2022,0,0,0,0,0,0,0,0,8/5/2021,2/28/2022,4/12/2022,""
1889958,"ELBilling","PBI","PBI","CHI","AC","HDMZ502414","BEAU5834364",1727,5,"YST","YARD STORAGE CHARGES","E",28,140,"REUSE","INTEGRATED INDUSTRIES ELWOOD","MIQIL","NEOVIA LOGISTICS - A58","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00616799757","","MEDUT5045884","MSC",2/21/2022,"1555",10/25/2021,2/25/2022,"1659","2359",2/25/2022,"1220",3/1/2022,"BNLPCIL","BNLPCIL",3/1/2022,"LOT N/S","DELCOIL",8/24/2021,20,3/12/2022,0,0,0,0,0,0,0,0,8/6/2021,3/1/2022,4/12/2022,""
1889965,"ELBilling","PBI","PBI","CHI","AC","TSXZ663432","FFAU2621273",1240,11,"YST","YARD STORAGE CHARGES","E",28,308,"REUCMAD","INTEGRATED INDUSTRIES ELWOOD","MIQIL","NEOVIA LOGISTICS - A58","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00616799837","","MEDUT5045884","MSC",2/9/2022,"1230",10/25/2021,2/19/2022,"1659","2359",2/19/2022,"1700",3/2/2022,"DELCOIL","DELCOIL",3/2/2022,"LOT C","DELCOIL",9/22/2021,20,2/28/2022,0,0,0,0,0,0,0,0,8/6/2021,3/18/2022,4/12/2022,""
1889982,"ELBilling","PBI","PBI","CHI","AC","TSXZ415364","MSCU5465563",1703,3,"YST","YARD STORAGE CHARGES","E",28,84,"REUILTW","INTEGRATED INDUSTRIES ELWOOD","UNIBOIL","UNIS BOLINGBROOK","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00616800000","","MEDUT5045884","MSC",2/23/2022,"1502",10/25/2021,2/25/2022,"1659","2359",2/25/2022,"1600",3/9/2022,"BNLPCIL","BNLPCIL",3/9/2022,"LOT C","DELCOIL",9/7/2021,20,3/14/2022,0,0,0,0,0,0,0,0,8/6/2021,3/1/2022,4/12/2022,""
1893441,"ELBilling","PBI","PBI","CHI","AC","DCLZ702141","TCKU6663613",1223,3,"YST","YARD STORAGE CHARGES","E",40,120,"REUSCON","CONGLOBAL LOT 17","MIQIL","NEOVIA LOGISTICS - A58","SAMCA","Samsung Electronics America (SALS)","SAMCADC","TNAM21185625","","SGN1148909B","CMA",3/24/2022,"1111",3/21/2022,3/26/2022,"2359","2359",3/26/2022,"0836",4/11/2022,"GLO4","GLO4",4/11/2022,"LOT S","DELCOIL",10/9/2021,20,4/12/2022,0,0,0,0,0,0,0,0,9/1/2021,4/22/2022,5/20/2022,""
1894245,"ELBilling","PBI","PBI","CHI","AC","DCNZ406087","MSMU7590060",1658,6,"YST","YARD STORAGE CHARGES","E",28,168,"","INTEGRATED INDUSTRIES ELWOOD","MIQIL","NEOVIA LOGISTICS - A58","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00639438684","","MEDUT5144661","MSC",2/16/2022,"1621",2/21/2022,2/21/2022,"2359","2359",2/21/2022,"1230",2/22/2022,"BNLPCIL","BNLPCIL",2/22/2022,"LOT S","DELCOIL",10/1/2021,20,3/7/2022,0,0,0,0,0,0,0,0,9/10/2021,3/1/2022,4/12/2022,""
1894870,"ELBilling","PBI","PBI","CHI","AC","TSXZ461141","MSMU7460236",1433,6,"YST","YARD STORAGE CHARGES","E",28,168,"REUCMAD","INTEGRATED INDUSTRIES ELWOOD","UNIBOIL","UNIS BOLINGBROOK","SAMCA","Samsung Electronics America (SALS)","SAMCADC","T00642628640","","MEDUT5166698","MSC",2/10/2022,"1111",2/15/2022,2/15/2022,"0000","2359",2/15/2022,"1330",2/21/2022,"DELCOIL","DELCOIL",2/21/2022,"LOT S","DELCOIL",10/2/2021,20,3/1/2022,0,0,0,0,0,0,0,0,9/15/2021,3/1/2022,4/12/2022,""
